Names,Country,Sponsor,Observed,Tools used
Elderwood (Symantec)                    Elderwood Gang (Symantec)                    Sneaky Panda (CrowdStrike)                    SIG22 (NSA)                    Beijing Group (SecureWorks),China,[UNKNOWN],Sectors: Defense[comma] Education[comma] Energy[comma] Financial[comma] and Government.                    Countries: Australia[comma] Canada[comma] China[comma] Denmark[comma] Hong Kong[comma] India[comma] Switzerland[comma]                    Taiwan[comma] UK and USA.,Briba[comma] Gh0st RAT[comma] Hydraq[comma] Linfo[comma] Naid[comma] Nerex[comma] Pasam[comma] Poison Ivy[comma] Vasport and                    Wiarp.
El Machete (Kaspersky),[Unknown],[UNKNOWN],Sectors: Defense[comma] Embassies[comma] Government[comma] and Telecommunications.                    Countries: Argentina[comma] Belgium[comma] Bolivia[comma] Brazil[comma] Canada[comma] China[comma] Colombia[comma] Cuba[comma]                    Dominican Republic[comma] Ecuador[comma] France[comma] Germany[comma] Guatemala[comma] Malaysia[comma] Nicaragua[comma]                    Mexico[comma] South Korea[comma] Spain[comma] Peru[comma] Russia[comma] Spain[comma] Sweden[comma] UK[comma] Ukraine[comma] USA and                    Venezuela among others.                    In some cases[comma] such as Russia[comma] the target appears to be an embassy from one of                    the countries of this list.,Machete.
Energetic Bear (CrowdStrike)                     Dragonfly (Symantec)                     Crouching Yeti (Kaspersky)                     Group 24 (Talos)                     Koala Team (iSight)                     Iron Liberty (SecureWorks)                     Electrum (Dragos),Russia,[UNKNOWN],Sectors: Construction[comma] Education[comma] Energy[comma] Industrial[comma] IT[comma] Manufacturing[comma] Oil and gas                     and Pharmaceutical.                     Countries: Canada[comma] France[comma] Germany[comma] Greece[comma] Italy[comma] Poland[comma] Romania[comma] Russia[comma]                     Serbia[comma] Spain[comma] Turkey[comma] UK[comma] Ukraine and USA.,"Commix[comma] CrashOverride[comma] Dirsearch[comma] Dorshel[comma] Havex RAT[comma] Hello[comma] Heriplor[comma] Impacket[comma]                     Industroyer[comma] Inveigh[comma] Karagany[comma] Lightsout[comma] Listrix[comma] nmap[comma] Oldrea[comma] PHPMailer[comma]                     PSExec[comma] SMBTrap[comma] Sqlmap[comma] Subbrute[comma] Sublist3r[comma] Sysmain[comma] Wpscan and WSO. Operations          Feb 2013     Spam campaign performed                        The Dragonfly group has used at least three infection tactics against                                  targets in the energy sector. The earliest method was an email spear                                  phishing campaign[comma] which saw selected executives and senior                                  employees in target companies receive emails containing a malicious                                  PDF attachment. Infected emails had one of two subject lines: ""The                                  account"" or ""Settlement of delivery problem"".                                  "
Equation Group (real name)                        Tilded Team (CrySys),USA,State-sponsored[comma] believed to be tied to the NSA's Tailored Access Operations unit.,Sectors: Aerospace[comma] Defense[comma] Energy[comma] Government[comma] Media[comma] Nanotechnology[comma]                 Nuclear research[comma] Oil and gas[comma] Telecommunications[comma] Transportation[comma] Islamic                 activists and scholars[comma] and companies developing cryptographic technologies.                 Countries: Afghanistan[comma] Bangladesh[comma] Belgium[comma] Brazil[comma] Ecuador[comma] France[comma] Germany[comma]                 Hong Kong[comma] India[comma] Iran[comma] Iraq[comma] Israel[comma] Kazakhstan[comma] Lebanon[comma] Libya[comma] Malaysia[comma] Mali[comma]                 Mexico[comma] Nigeria[comma] Pakistan[comma] Palestine[comma] Philippines[comma] Qatar[comma] Russia[comma] Singapore[comma]                 Somalia[comma] South Africa[comma] Sudan[comma] Switzerland[comma] Syria[comma] UAE[comma] UK[comma] USA and Yemen.,DarkPulsar[comma] DOUBLEFANTASY[comma] DoublePulsar[comma] EQUATIONDRUG[comma]                 EQUATIONLASER[comma] EQUESTRE[comma] FANNY[comma] GROK[comma] Lambert[comma] Plexor[comma] Regin[comma]                 TRIPLEFANTASY and many others.
Emissary Panda (CrowdStrike)                    APT 27 (Mandiant)                    LuckyMouse (Kaspersky)                    Bronze Union (Scureworks)                    TG-3390 (SecureWorks)                    TEMP.Hippo (Symantec)                    Group 35 (Talos),China,[UNKNOWN],Sectors: Defense[comma] Education[comma] Embassies[comma] Government[comma] Technology[comma]                    Telecommunications and Think Tanks.                    Countries: Australia[comma] Canada[comma] China[comma] Hong Kong[comma] India[comma] Iran[comma] Israel[comma] Japan[comma] Middle                    East[comma] Philippines[comma] Russia[comma] South Korea[comma] Taiwan[comma] Thailand[comma] Tibet[comma] UK and USA.,Antak[comma] ASPXSpy[comma] China Chopper[comma] Gh0st RAT[comma] gsecdump[comma] HTTPBrowser[comma] Hunter[comma]                    HyperBro[comma] Mimikatz[comma] Nishang[comma] OwaAuth[comma] PlugX[comma] PSExec[comma] Upatre[comma] Windows                    Credential Editor and ZipToken.
FIN4 (FireEye)                    Wolf Spider (CrowdStrike),Romania,[UNKNOWN],Sectors: Financial[comma] Healthcare and Pharmaceutical.,Information
FIN5 (FireEye),[Unknown],[UNKNOWN],Sectors: Gaming and Hospitality.,FLIPSIDE[comma] pwdump[comma] RawPOS[comma] SDelete and Windows Credential Editor.
FIN6 (FireEye)                    Skeleton Spider (CrowdStrike),[Unknown],[UNKNOWN],Sectors: Hospitality and Retail.,AbaddonPOS[comma] Cobalt Strike[comma] FrameworkPOS[comma] GRABNEW[comma] Grateful POS[comma]                    LockerGoga[comma] Ryuk[comma] Windows Credential Editor and WMI.
FIN7 (FireEye),Russia,[UNKNOWN],Sectors: Casinos and Gaming[comma] Construction[comma] Education[comma] Energy[comma] Financial[comma]                    Government[comma] High-Tech[comma] Hospitality[comma] Retail[comma] Technology[comma] Telecommunications[comma]                    Transportation and Travel.                    Countries: Europe and USA.,Astra[comma] Bateleur[comma] Carbanak[comma] Cobalt Strike[comma] Griffon[comma] HALFBAKED[comma] POWERSOURCE[comma]                    SQLRAT and TEXTMATE.
FIN8 (FireEye),[Unknown],[UNKNOWN],Sectors: Hospitality and Retail.                    Countries: USA.,PunchBuggy[comma] PunchTrack and ShellTea.
FIN10 (FireEye),[Unknown],[UNKNOWN],Sectors: Casinos and Mining.                    Countries: Canada and USA.,Empire and SplinterRAT.
Flying Kitten (CrowdStrike)                     Ajax Security Team (FireEye)                     Group 26 (Talos),Iran,State-sponsored,Sectors: Defense and dissidents.                     Countries: USA.,"Sayyad and Stealer. Operations          2013         Operation ""Saffron Rose"" performed                        "
Gallmaker (Symantec),[Unknown],[UNKNOWN],Sectors: Defense[comma] Embassies and Government.                    Countries: Eastern Europe and Middle East.,Information
Gamaredon Group (Palo Alto),Russia,State-sponsored[comma] FSB 16th & 18th Centers,Sectors: Defense[comma] Government and Law enforcement.                    Countries: Ukraine,FRAUDROP[comma] Gamaredon[comma] Pteranodon and Resetter.
GCMAN (Kaspersky),: Russia.,[UNKNOWN],Sectors: Financial.,Malicious RAR archives[comma] Putty[comma] VNC and Meterpreter.
GhostNet (Information Warfare Monitor)                    Snooping Dragon (UCAM),China,[UNKNOWN],Sectors: Embassies[comma] Government[comma] Media and NGOs.                    1[comma]295 infected computers in 103 countries[comma] including the Dalai Lama[comma] the ministries                    of foreign affairs of Bangladesh[comma] Barbados[comma] Bhutan[comma] Brunei[comma] Indonesia[comma] Iran[comma] Latvia                    and Philippines; embassies of Cyprus[comma] Germany[comma] India[comma] Indonesia[comma] Malta[comma] Pakistan[comma]                    Portugal[comma] Romania[comma] South Korea[comma] Taiwan and Thailand; the ASEAN (Association of                    Southeast Asian Nations) Secretariat[comma] SAARC (South Asian Association for                    Regional Cooperation)[comma] and the Asian Development Bank; news organizations; and                    an unclassified computer located at NATO headquarters.,Gh0st RAT and Skype.
Goblin Panda (CrowdStrike)                    Cycldek (Kaspersky),China,[UNKNOWN],Sectors: Defense and Energy and Government.                    Countries: India[comma] Indonesia[comma] Laos[comma] Malaysia[comma] Philippines[comma] USA and Vietnam.,HttpTunnel[comma] NewCore[comma] PlugX[comma] QCRat[comma] Sisfader and ZeGhost.
Goldmouse (360)                      APT-C-27 (360),[Unknown],[UNKNOWN],Countries: Middle East.,GoldenRAT[comma] njRAT and a WinRAR exploit.
Gorgon Group (Palo Alto)                    Subaat (Palo Alto),Pakistan,State-sponsored,Sectors: Government.                    Countries: Russia[comma] Spain[comma] UK and USA.,Crimson[comma] LokiBot[comma] NanoCore RAT[comma] njRAT[comma] QuasarRAT[comma] Remcos and Revenge                    RAT.
GozNym (IBM),[Several],[UNKNOWN],Sectors: Financial.                    Countries: Canada[comma] Poland and USA.,GozNym[comma] Nymaim and Gozi ISFB.
Group5 (Citizen Lab),Iran,State-sponsored,Countries: Syria.,DroidJack[comma] NanoCore RAT and njRAT.
Hidden Lynx (Symantec)                    Aurora Panda (CrowdStrike)                    Group 8 (Talos),China,[UNKNOWN],Sectors: Construction[comma] Defense[comma] Education[comma] Financial[comma] Food and Agriculture[comma]                    Engineering[comma] Healthcare[comma] IT[comma] Government[comma] Media[comma] Non-profit organizations[comma]                    Pharmaceuticals[comma] Retail and lawyers.                    Countries: Australia[comma] Canada[comma] China[comma] France[comma] Germany[comma] Hong Kong[comma] India[comma] Japan[comma]                    Russia[comma] Singapore[comma] South Korea[comma] Taiwan[comma] UK[comma] Ukraine and USA.,HiKit[comma] Moudoor and Naid.
Honeybee (McAfee),[Unknown],[UNKNOWN],Sectors: Those involved in humanitarian aid and inter-Korean affairs.                    Countries: South Korea to target Argentina[comma] Canada[comma] Indonesia[comma] Japan[comma] Singapore                    and Vietnam.,SYSCON[comma] Systeminfo and Tasklist
Hurricane Panda (CrowdStrike)                    Zirconium (Microsoft)                    APT 31 (Mandiant)                    TEMP.Avengers (Symantec),China,[UNKNOWN],Sectors: Technology and Telecommunications.,9002 RAT[comma] China Chopper[comma] Gh0st RAT[comma] HiKit[comma] Mimikatz[comma] PlugX[comma] Sakula RAT and                    Trochilus RAT.
Icefog (Kaspersky)                    Dagger Panda (CrowdStrike),China[comma] South Korea and Japan,[UNKNOWN],Sectors: Defense[comma] Government[comma] High-Tech[comma] Maritime and Shipbuilding[comma] Media[comma]                    Telecommunications[comma] Water and others.                    Countries: Australia[comma] Austria[comma] Belarus[comma] Canada[comma] China[comma] France[comma] Germany[comma] Hong                    Kong[comma] India[comma] Italy[comma] Japan[comma] Kazakhstan[comma] Malaysia[comma] Maldives[comma] Mongolia[comma] Netherlands[comma]                    Pakistan[comma] Philippines[comma] Russia[comma] Singapore[comma] South Korea[comma] Sri Lanka[comma] Taiwan[comma]                    Tajikistan[comma] Turkey[comma] UK[comma] USA and Uzbekistan.,Dagger Three[comma] Fucobha[comma] Icefog and Javafog.
Inception Framework (Symantec),Russia,[UNKNOWN],Sectors: Defense[comma] Embassies[comma] Engineering[comma] Financial[comma] Government and Oil and                    gas.                    Countries: Afghanistan[comma] Armenia[comma] Austria[comma] Azerbaijan[comma] Belarus[comma] Belgium[comma] Brazil[comma]                    Congo[comma] Cyprus[comma] France[comma] Georgia[comma] Germany[comma] Greece[comma] India[comma] Indonesia[comma] Iran[comma] Italy[comma]                    Jordan[comma] Kazakhstan[comma] Kenya[comma] Kyrgyzstan[comma] Lebanon[comma] Lithuania[comma] Malaysia[comma] Moldova[comma]                    Morocco[comma] Mozambique[comma] Oman[comma] Pakistan[comma] Paraguay[comma] Qatar[comma] Romania[comma] Russia[comma] Saudi                    Arabia[comma] South Africa[comma] Suriname[comma] Switzerland[comma] Tajikistan[comma] Tanzania[comma] Turkey[comma]                    Turkmenistan[comma] Uganda[comma] Ukraine[comma] UAE[comma] USA[comma] Uzbekistan[comma] Venezuela and Vietnam.,Inception[comma] Lastacloud and many 0-day exploits.
Infy (Palo Alto)                       Prince of Persia (Palo Alto)                       Operation Mermaid (360),Iran,State-sponsored,Sectors: Government and private sectors.                       Countries: Bahrain[comma] Canada[comma] China[comma] Denmark[comma] France[comma] Germany[comma] Iran[comma] Israel[comma]                       Italy[comma] Russia[comma] Saudi Arabia[comma] Sweden[comma] Syria[comma] UK and USA.,"Foudre and Infy. Operations            May 2015         In May 2015[comma] Palo Alto Networks WildFire detected two e-mails performed                              carrying malicious documents from a genuine and compromised                                        Israeli Gmail account[comma] sent to an Israeli industrial organization.                                        One e-mail carried a Microsoft PowerPoint file named                                        ""thanks.pps""[comma] the other a Microsoft Word document named                                        ""request.docx"".                                        "
Iridium (Resecurity),Iran,[UNKNOWN],Sectors: Government[comma] Oil and gas and Technology.,China Chopper[comma] Ckife Webshells[comma] LazyCat and reGeorge. Operations          Dec 2018       Attacks on Australian government performed                          
Ke3chang (FireEye)                    Vixen Panda (CrowdStrike)                    APT 15 (Mandiant)                    GREF (SecureWorks)                    Playful Dragon (FireEye)                    Royal APT (NCC Group),China,State-sponsored,Sectors: Aerospace[comma] Airlines[comma] Chemicals[comma] Defense[comma] Embassies[comma] Energy[comma]                    Government[comma] High-Tech[comma] Industry[comma] Manufacturing[comma] Mining[comma] Oil and gas and Utilities.                    Countries: European Union[comma] India and UK.,Cobalt Strike[comma] Metushy[comma] Mimikatz[comma] MirageFox[comma] MS Exchange Tool[comma] Royal DNS[comma]                    RoyalCli[comma] spwebmember[comma] Systeminfo[comma] Tasklist[comma] TidePool and Winnti.
Kimsuky (Kaspersky)                    Velvet Chollima (CrowdStrike),North Korea,[UNKNOWN],Ministry of Unification[comma] Sejong Institute and Korea Institute for Defense Analyses.                    Countries: South Korea.,Grease[comma] KPortScan[comma] MailPassView[comma] Mechanical[comma] Mimikatz[comma] Network Password                    Recovery[comma] Procdump[comma] PSExec[comma] Remote Desktop PassView[comma] SniffPass and                    WebBrowserPassView.
Lazarus Group (Kaspersky)                    Labyrinth Chollima (CrowdStrike)                    Group 77 (Talos)                    Hastati Group (SecureWorks)                    Whois Hacking Team (McAfee)                    NewRomanic Cyber Army Team (McAfee)                    Zinc (Microsoft)                    Hidden Cobra (Trend Micro)                    Nickel Academy (SecureWorks)                    APT-C-26 (360),North Korea,State-sponsored[comma] Bureau/Unit 211,Sectors: Engineering[comma] Financial[comma] Government[comma] Technology and BitCoin exchanges.                    Countries: Australia[comma] Bangladesh[comma] Brazil[comma] Canada[comma] Chile[comma] China[comma] Ecuador[comma] France[comma]                    Germany[comma] Guatemala[comma] Hong Kong[comma] India[comma] Israel[comma] Japan[comma] Mexico[comma] Philippines[comma]                    Poland[comma] South Korea[comma] Taiwan[comma] Thailand[comma] UK[comma] USA[comma] Vietnam and worldwide                    (WannaCry).,AuditCred[comma] AlphaNC[comma] Alreay[comma] AppleJeus[comma] Appleworm[comma] BADCALL[comma] Bankshot[comma]                    BanSwift[comma] Bitsran[comma] Brambul[comma] BravoNC[comma] Castov[comma] Contopee[comma] DeltaNC[comma] Destover[comma]                    Dozer[comma] DoublePulsar[comma] Duuzer[comma] ELECTRICFISH[comma] EternalBlue[comma] FallChill RAT[comma]                    FASTCash[comma] Fimlis[comma] Gh0st RAT[comma] HARDRAIN[comma] Hawup[comma] Hermes[comma] HOPLIGHT[comma]                    HtDnDownLoader[comma] Joanap[comma] Jokra[comma] KEYMARBLE[comma] KillDisk[comma] Koredos[comma] Lazarus[comma]                    Manuscrypt[comma] Mimikatz[comma] Mydoom[comma] Mytob[comma] NukeSped[comma] PhanDoor[comma] PowerRatankba[comma]                    PowerSpritz[comma] Proxysvc[comma] RatabankaPOS[comma] RawDisk[comma] Rifdoor[comma] Rising Sun[comma] RomeoNC[comma]                    SHARPKNOT[comma] SheepRAT[comma] SierraNC[comma] Tdrop[comma] Tdrop2[comma] Troy[comma] TYPEFRAME[comma] Volgmer[comma]                    WannaCry[comma] WolfRAT and Yort.                                                                                                         129       Threat Group Cards: A Threat Actor Encyclopedia
Andariel (FSI)                     Silent Chollima (CrowdStrike),"North Korea Operations          2014          Operation ""BLACKMINE"" performed                         Target: South Korean organizations.                                   Method: Information theft and espionage.                     2014          Operation ""GHOSTRAT""                                   Target: Defense industry                                   Method: Information theft and espionage.                     2014          Operation ""XEDA""                                   Target: Foreign defense industries                                   Method: Information theft and espionage.                     2015          Operation ""INITROY""/Phase 1                                   Target: South Korean organizations.                                   Method: Information theft/early phase operation.                     2015          Operation ""DESERTWOLF""/Phase 3                                   Target: South Korean defense industry.                                   Method: Information theft and espionage.                     2015          Operation ""BLACKSHEEP""/Phase 3.                                   Target: Defense industry                                   Method: Information theft and espionage                     2016          Operation ""INITROY""/Phase 2                                   Target: South Korean organizations.                                   Method: Information theft/early phase operation.                     2016          Operation ""VANXATM""                                   Target: ATM companies                                   Method: Financial theft/BPC                     2017          Operation ""Mayday""                                   Target: South Koran Financial Company.                                   Method: Information theft and espionage.                                                                                      134           Threat Group Cards: A Threat Actor EncyclopediaSubgroup: Bluenoroff[comma] APT 38[comma] Stardust Chollima",[UNKNOWN],[UNKNOWN],[UNKNOWN]
Bluenoroff (Kaspersky)                     Stardust Chollima (CrowdStrike)                     APT 38 (Mandiant),North Korea,[UNKNOWN],[UNKNOWN],[UNKNOWN]
Lead (Microsoft),China,State-sponsored,Sectors: Online videogame companies[comma] Pharmaceutical[comma] Technology and                      Telecommunications.                      Countries: Japan and USA.,Cobalt Strike and Winnti.
Leafminer (Symantec)                    Raspite (Dragos),Iran,[UNKNOWN],Sectors: Energy[comma] Financial[comma] Government and Transportation.                    Countries: Europe[comma] East Asia[comma] Israel[comma] Kuwait[comma] Lebanon and USA.,Imecab[comma] LaZagne[comma] PhpSpy and Mimikatz.
Leviathan (CrowdStrike)                    APT 40 (Mandiant)                    TEMP.Periscope (FireEye)                    TEMP.Jumper (FireEye)                    Bronze Mohawk (SecureWorks)                    Mudcarp (iDefense),China,[UNKNOWN],Sectors: Maritime-related targets across multiple verticals[comma] including Defense[comma]                    Engineering[comma] Government[comma] Manufacturing[comma] Research Shipping and Transportation.                    Countries: Belgium[comma] Cambodia[comma] Germany[comma] Hong Kong[comma] Malaysia[comma] Norway                    Philippines[comma] Saudi Arabia[comma] Switzerland[comma] USA and UK[comma] and Asia Pacific Economic                    Cooperation (APEC).,AIRBREAK[comma] BADFLICK[comma] Beacon[comma] BITSAdmin[comma] BLACKCOFFEE[comma] China Chopper[comma]                    Cobalt Strike[comma] Derusbi[comma] Gh0st RAT[comma] GRILLMARK[comma] HOMEFRY[comma] LUNCHMONEY[comma]                    MURKYTOP[comma] NanHaiShu[comma] Orz[comma] PHOTO[comma] PlugX[comma] scanbox[comma] SeDLL[comma] Windows                    Credential Editor and ZXShell.
Longhorn (Symantec)                    The Lamberts (Kaspersky),USA,State-sponsored[comma] CIA,Sectors: Aerospace[comma] Education[comma] Energy[comma] Financial[comma] Government[comma] IT and                    Telecommunications.                    Countries: 16 countries in the Middle East[comma] Europe[comma] Asia and Africa.,Black Lambert[comma] Blue Lambert[comma] Corentry[comma] Gray Lambert[comma] Green Lambert[comma] Green OS                    X Lambert[comma] LH1[comma] LH2[comma] Pink Lambert[comma] Plexor and White Lambert.
Lotus Blossom (Palo Alto)                    Spring Dragon (Kaspersky)                    Dragonfish (iDefense),China,State-sponsored,Sectors: Defense[comma] Education[comma] Government and Telecommunications.                    Countries: Brunei[comma] Cambodia[comma] Hong Kong[comma] Indonesia[comma] Japan[comma] Laos[comma] Malaysia[comma]                    Myanmar[comma] Philippines[comma] Singapore[comma] Taiwan[comma] Thailand and Vietnam.,Elise and Emissary.
Lucky Cat (Symantec),China,[UNKNOWN],Sectors: Aerospace[comma] Defense[comma] Engineering[comma] Shipping and Tibetan activists.                    Countries: India[comma] Japan[comma] Malaysia and Tibet.,Sojax and Wimmie.
Lurk (Kaspersky),Russia,[UNKNOWN],Sectors: Financial and Media.                    Countries: Russia.,Lurk.
Mabna Institute (real name)                     Silent Librarian (SecureWorks),Iran,State-sponsored,Sectors: Universities.                     Countries: Australia[comma] Canada[comma] China[comma] Israel[comma] Japan[comma] Switzerland[comma] Turkey[comma] UK and                     USA.,"Operations          Aug 2018       Operation ""Cobalt Dickens"" performed                          Despite indictments in March 2018[comma] the Iranian threat group is likely                                    responsible for a large-scale campaign that targeted university                                    credentials using the same spoofing tactics as previous attacks.                                    In August 2018[comma] members of university communities worldwide may                                    have been providing access to more than just homework assignments.                                    Secureworks Counter Threat Unit (CTU) researchers discovered a                                    URL spoofing a login page for a university. Further research into the                                    IP address hosting the spoofed page revealed a broader campaign to                                    steal credentials. Sixteen domains contained over 300 spoofed                                    websites and login pages for 76 universities located in 14 countries[comma]                                    including Australia[comma] Canada[comma] China[comma] Israel[comma] Japan[comma] Switzerland[comma]                                    Turkey[comma] the United Kingdom[comma] and the United States.                                    "
Madi (Kaspersky)                    Mahdi (Kaspersky),Iran,[UNKNOWN],Sectors: Education[comma] Engineering[comma] Financial[comma] Government[comma] Oil and gas and Think                    Tanks.                    Countries: Australia[comma] Ecuador[comma] Greece[comma] Iran[comma] Iraq[comma] Israel[comma] Mozambique[comma] New                    Zealand[comma] Pakistan[comma] Saudi Arabia[comma] Switzerland[comma] USA and Vietnam.,Madi.
Magic Hound (Palo Alto)                    APT 35 (Mandiant)                    Cobalt Gypsy (SecureWorks)                    Rocket Kitten (CrowdStrike)                    TEMP.Beanie (FireEye)                    Timberworm (Symantec)                    Tarh Andishan (Cylance),Iran,State-sponsored,[UNKNOWN],[UNKNOWN]
Covellite (Dragos),North Korea,[UNKNOWN],Sectors: Energy[comma] Government and Technology sectors that are either based or                 have business interests in Saudi Arabia.                 Countries: Afghanistan[comma] Canada[comma] Egypt[comma] Iran[comma] Iraq[comma] Israel[comma] Jordan[comma] Kuwait[comma] Morocco[comma]                 Pakistan[comma] Saudi Arabia[comma] Spain[comma] Syria[comma] Turkey[comma] UAE[comma] UK[comma] Venezuela and Yemen,CWoolger[comma] DistTrack[comma] FileMalv[comma] Ghambar[comma] Ghole[comma] Havij[comma] Leash[comma] Matryoshka RAT[comma]                 Mimikatz[comma] MPKBot[comma] NETWoolger[comma] PupyRAT[comma] sqlmap[comma] TDTESS and Woolger.
Moafee (FireEye),China,[UNKNOWN],"Sectors: Defense and Government.                    Countries: USA and ""countries with national interests in the South China Sea.""",HTRAN[comma] Mongall[comma] NewCT2[comma] Nflog and Poison Ivy.
Mofang (Fox-IT),China,State-sponsored,Sectors: Automotive[comma] Critical infrastructure[comma] Defense[comma] Government and weapon                    industries.                    Countries: Canada[comma] Germany[comma] India[comma] Myanmar[comma] Singapore[comma] South Korea and USA.,ShimRAT[comma] ShimRatReporter and Superman.
Molerats (FireEye)                    Extreme Jackal (CrowdStrike)                    Gaza Cybergang (Kaspersky)                    Gaza Hackers Team (Kaspersky),Gaza,Hamas,Sectors: Aerospace[comma] Defense[comma] Embassies[comma] Financial[comma] Government[comma] Oil and gas[comma]                    journalists and software developers.                    Countries: China[comma] Egypt[comma] Iran[comma] Iraq[comma] Israel[comma] Jordan[comma] Latvia[comma] Libya[comma] Macedonia[comma] New                    Zealand[comma] Palestine[comma] Saudi Arabia[comma] Slovenia[comma] Turkey[comma] UAE[comma] UK[comma] USA and Yemen[comma]                    the BBC and the Office of the Quartet Representative.,DustySky[comma] Molerat Loader[comma] NeD Worm[comma] njRAT[comma] Poison Ivy[comma] Scote and XtremeRAT.
MoneyTaker (Group-IB),Russia,[UNKNOWN],Sectors: Financial.                    Countries: Russia[comma] UK and USA.,Citadel[comma] Kronos[comma] Metasploit[comma] MoneyTaker and Screenshotter.
MuddyWater (Palo Alto)                    Seedworm (Symantec)                    TEMP.Zagros (FireEye)                    Static Kitten (CrowdStrike),Iran,[UNKNOWN],Sectors: Defense[comma] Education[comma] Food[comma] Gaming[comma] Government[comma] IT[comma] Media[comma] NGOs[comma] Oil                    and gas[comma] Telecommunications and Transportation.                    Countries: Afghanistan[comma] Armenia[comma] Bahrein[comma] Belarus[comma] Egypt[comma] Georgia[comma] India[comma] Iraq[comma]                    Israel[comma] Jordan[comma] Lebanon[comma] Mali[comma] Netherlands[comma] Oman[comma] Pakistan[comma] Russia[comma] Saudi Arabia[comma]                    Tajikistan[comma] Tunisia[comma] Turkey[comma] UAE[comma] Ukraine and USA.,ChromeCookiesView[comma] chrome-passwords[comma] CLOUDSTATS[comma] CrackMapExec[comma]                    DELPHSTATS[comma] EmpireProject[comma] FruityC2[comma] Koadic[comma] LaZagne[comma] Meterpreter[comma] Mimikatz.                    MZCookiesView[comma] PowerSploit[comma] POWERSTATS[comma] SHARPSTATS[comma] Shoorback and                    Smbmap.
Mustang Panda (CrowdStrike),China,[UNKNOWN],US Think Tank.                    NGOs in Mongolia.,PlugX and Poison Ivy.
Naikon (Kaspersky)                    Hellsing (Kaspersky)                    Lotus Panda (CrowdStrike),China,State-sponsored[comma] PLA Unit 78020,Sectors: Defense[comma] Energy[comma] Government[comma] Law Enforcement and Media.                    Countries: Cambodia[comma] China[comma] India[comma] Indonesia[comma] Laos[comma] Malaysia[comma] Myanmar[comma] Nepal[comma]                    Philippines[comma] Saudi Arabia[comma] Singapore[comma] South Korea[comma] Thailand[comma] USA and Vietnam.,Hdoor[comma] Naikon[comma] JadeRAT[comma] NewCore RAT[comma] PlugX[comma] RARSTONE[comma] Sisfader[comma] SslMM[comma]                    Sys10[comma] Systeminfo[comma] Tasklist[comma] TeamViewer[comma] WinMM and xsPlus.
Neodymium (Microsoft),[Unknown],[UNKNOWN],Countries: Europe.,Wingbird.
NetTraveler (Kaspersky)                    APT 21 (Mandiant),China,[UNKNOWN],Sectors: Defense[comma] Embassies[comma] Government[comma] Oil and gas[comma] Scientific research centers                    and institutes and Tibetan/Uyghur activists.                    Countries: Afganistan[comma] Australia[comma] Austria[comma] Bangladesh[comma] Belarus[comma] Belgium[comma] Cambodia[comma]                    Canada[comma] Chile[comma] China[comma] Germany[comma] Greece[comma] Hong Kong[comma] India[comma] Indonesia[comma] Iran[comma] Japan[comma]                    Jordan[comma] Kazakhstan[comma] Kyrgyzstan[comma] Lithuania[comma] Malaysia[comma] Mongolia[comma] Morocco[comma] Nepal[comma]                    Pakistan[comma] Qatar[comma] Russia[comma] Slovenia[comma] South Korea[comma] Spain[comma] Suriname[comma] Syria[comma] Tajikistan[comma]                    Thailand[comma] Turkey[comma] Turkmenistan[comma] UK[comma] Ukraine[comma] USA and Uzbekistan.,NetTraveler/TravNet and PlugX.
Night Dragon (McAfee),China,[UNKNOWN],Sectors: Energy[comma] Oil and gas and Petrochemical.                    Countries: Greece[comma] Kazakhstan[comma] Netherlands[comma] Taiwan and USA.,ASPXSpy[comma] Cain & Abel[comma] gsecdump and zwShell.
Nightshade Panda (CrowdStrike)                    APT 9 (Mandiant)                    Group 27 (ASERT),China,[UNKNOWN],Sectors: Energy and Government.                    Countries: Myanmar and Thailand.,9002 RAT[comma] EvilGrab[comma] MoonWind RAT[comma] PlugX and Trochilus RAT.
Nitro (Symantec)                     Covert Grove (Symantec),China,[UNKNOWN],Sectors: Chemical[comma] Human Rights NGOs[comma] Motor industry and Technology.                     Countries: Argentina[comma] Bangladesh[comma] Canada[comma] China[comma] Czech[comma] Finland[comma] France[comma]                     Germany[comma] Hong Kong[comma] India[comma] Japan[comma] Netherlands[comma] Norway[comma] Russia[comma] Singapore[comma]                     South Korea[comma] Sweden[comma] Taiwan[comma] UK and USA.,Farfli[comma] PCClient[comma] Poison Ivy and Spindest. Operations          Jul 2014     New Indicators of Compromise found performed                        Historically[comma] Nitro is known for targeted spear phishing campaigns and                                  using Poison Ivy malware[comma] which was not seen in these attacks. Since                                  at least 2013[comma] Nitro appears to have somewhat modified their malware                                  and delivery methods to include Spindest and legitimate compromised                                  websites[comma] as reported by Cyber Squared's TCIRT.                                  
